Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST - Login,500,144,134,146,157,237,103,1584,0.000%,4.13637,5.77,1.08
GET - Cart,500,34,26,42,49,200,18,805,0.000%,4.14893,2.63,2.41
GET - Products,500,13,12,18,22,43,8,101,0.000%,4.14206,72.44,2.48
POST - Chatbot,500,397823,431750,492914,494966,499391,91303,524656,0.000%,.83044,0.74,0.55
GET - Recommend,35,84,65,82,93,721,46,721,0.000%,.17852,0.14,0.11
TOTAL,2035,97794,80,460039,489875,495253,8,524656,0.000%,3.34170,16.81,1.76
