id,product_id,variant_id,reason,product_name,url_length,image_url_preview
95,,,orphan_no_product_no_variant,,161,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268455/img/Xiaomi/Op_lung/%E1%BB%90p%20l%C6%B0ng%20Xiaomi%20Redmi
113,,,orphan_no_product_no_variant,,179,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268455/img/XMobile/Adapter_capsac/Adapter%20chuy%E1%BB%83n%20%C4%
114,,,orphan_no_product_no_variant,,179,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268455/img/XMobile/Adapter_capsac/Adapter%20S%E1%BA%A1c%202%20c%E
115,,,orphan_no_product_no_variant,,182,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268456/img/XMobile/Adapter_capsac/Adapter%20S%E1%BA%A1c%202%20c%E
116,,,orphan_no_product_no_variant,,170,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268456/img/XMobile/Adapter_capsac/Adapter%20s%E1%BA%A1c%202%20c%E
117,,,orphan_no_product_no_variant,,163,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268456/img/XMobile/Adapter_capsac/Adapter%20s%E1%BA%A1c%202%20c%E
118,,,orphan_no_product_no_variant,,177,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268456/img/XMobile/Adapter_capsac/Adapter%20s%E1%BA%A1c%202%20c%E
119,,,orphan_no_product_no_variant,,175,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268456/img/XMobile/Adapter_capsac/Adapter%20s%E1%BA%A1c%202%20c%E
120,,,orphan_no_product_no_variant,,174,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268457/img/XMobile/Adapter_capsac/Adapter%20S%E1%BA%A1c%202%20c%E
121,,,orphan_no_product_no_variant,,177,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268457/img/XMobile/Adapter_capsac/Adapter%20s%E1%BA%A1c%204%20c%E
122,,,orphan_no_product_no_variant,,157,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268457/img/XMobile/Adapter_capsac/Adapter%20S%E1%BA%A1c%20Type%20
123,,,orphan_no_product_no_variant,,155,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268457/img/XMobile/Adapter_capsac/Adapter%20S%E1%BA%A1c%20Type%20
124,,,orphan_no_product_no_variant,,154,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268457/img/XMobile/Adapter_capsac/Adapter%20S%E1%BA%A1c%20Type%20
125,,,orphan_no_product_no_variant,,154,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268459/img/XMobile/Adapter_capsac/Adapter%20S%E1%BA%A1c%20Type%20
126,,,orphan_no_product_no_variant,,154,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268459/img/XMobile/Adapter_capsac/Adapter%20S%E1%BA%A1c%20Type%20
127,,,orphan_no_product_no_variant,,160,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268459/img/XMobile/Adapter_capsac/Adapter%20S%E1%BA%A1c%20Type%20
128,,,orphan_no_product_no_variant,,160,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268459/img/XMobile/Adapter_capsac/Adapter%20S%E1%BA%A1c%20Type%20
129,,,orphan_no_product_no_variant,,177,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268459/img/XMobile/Adapter_capsac/Adapter%20S%E1%BA%A1c%20%C4%91a
130,,,orphan_no_product_no_variant,,178,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268460/img/XMobile/Adapter_capsac/C%C3%A1p%203%20%C4%91%E1%BA%A7u
131,,,orphan_no_product_no_variant,,140,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268460/img/XMobile/Adapter_capsac/C%C3%A1p%20Lightning%201m%20Xmo
132,,,orphan_no_product_no_variant,,139,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268460/img/XMobile/Adapter_capsac/C%C3%A1p%20Lightning%201m%20Xmo
133,,,orphan_no_product_no_variant,,138,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268460/img/XMobile/Adapter_capsac/C%C3%A1p%20Lightning%201m%20Xmo
134,,,orphan_no_product_no_variant,,140,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268460/img/XMobile/Adapter_capsac/C%C3%A1p%20Micro%20USB%201m%20X
135,,,orphan_no_product_no_variant,,139,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268462/img/XMobile/Adapter_capsac/C%C3%A1p%20Micro%20USB%202m%20X
136,,,orphan_no_product_no_variant,,142,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268462/img/XMobile/Adapter_capsac/C%C3%A1p%20Micro%20USB%202m%20X
137,,,orphan_no_product_no_variant,,158,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268462/img/XMobile/Adapter_capsac/C%C3%A1p%20Type%20C%20-%20Light
138,,,orphan_no_product_no_variant,,153,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268462/img/XMobile/Adapter_capsac/C%C3%A1p%20Type%20C%20-%20Light
139,,,orphan_no_product_no_variant,,158,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268462/img/XMobile/Adapter_capsac/C%C3%A1p%20Type%20C%20-%20Light
140,,,orphan_no_product_no_variant,,156,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268465/img/XMobile/Adapter_capsac/C%C3%A1p%20Type%20C%20-%20Type%
141,,,orphan_no_product_no_variant,,138,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268465/img/XMobile/Adapter_capsac/C%C3%A1p%20Type%20C%200.2m%20Xm
142,,,orphan_no_product_no_variant,,135,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268465/img/XMobile/Adapter_capsac/C%C3%A1p%20Type%20C%201m%20Xmob
143,,,orphan_no_product_no_variant,,135,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268465/img/XMobile/Adapter_capsac/C%C3%A1p%20Type%20C%201m%20Xmob
144,,,orphan_no_product_no_variant,,139,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268465/img/XMobile/Adapter_capsac/C%C3%A1p%20Type%20C%201m%20Xmob
145,,,orphan_no_product_no_variant,,136,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268467/img/XMobile/Adapter_capsac/C%C3%A1p%20Type%20C%202m%20Xmob
146,,,orphan_no_product_no_variant,,190,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268467/img/XMobile/Sac_du_phong/Pin%20s%E1%BA%A1c%20d%E1%BB%B1%20
147,,,orphan_no_product_no_variant,,191,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268467/img/XMobile/Sac_du_phong/Pin%20s%E1%BA%A1c%20d%E1%BB%B1%20
148,,,orphan_no_product_no_variant,,194,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268467/img/XMobile/Sac_du_phong/Pin%20s%E1%BA%A1c%20d%E1%BB%B1%20
149,,,orphan_no_product_no_variant,,195,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268467/img/XMobile/Sac_du_phong/Pin%20s%E1%BA%A1c%20d%E1%BB%B1%20
150,,,orphan_no_product_no_variant,,230,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268469/img/XMobile/Sac_du_phong/Pin%20s%E1%BA%A1c%20d%E1%BB%B1%20
151,,,orphan_no_product_no_variant,,201,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268468/img/XMobile/Sac_du_phong/Pin%20s%E1%BA%A1c%20d%E1%BB%B1%20
152,,,orphan_no_product_no_variant,,224,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268469/img/XMobile/Sac_du_phong/Pin%20s%E1%BA%A1c%20d%E1%BB%B1%20
153,,,orphan_no_product_no_variant,,242,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268469/img/XMobile/Sac_du_phong/Pin%20s%E1%BA%A1c%20d%E1%BB%B1%20
154,,,orphan_no_product_no_variant,,229,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268469/img/XMobile/Sac_du_phong/Pin%20s%E1%BA%A1c%20d%E1%BB%B1%20
155,,,orphan_no_product_no_variant,,217,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268471/img/XMobile/Sac_du_phong/Pin%20s%E1%BA%A1c%20d%E1%BB%B1%20
156,,,orphan_no_product_no_variant,,217,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268471/img/XMobile/Sac_du_phong/Pin%20s%E1%BA%A1c%20d%E1%BB%B1%20
157,,,orphan_no_product_no_variant,,263,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268471/img/XMobile/Sac_du_phong/Pin%20s%E1%BA%A1c%20d%E1%BB%B1%20
158,,,orphan_no_product_no_variant,,264,https://res.cloudinary.com/dhhvmdtcz/image/upload/v1772268471/img/XMobile/Sac_du_phong/Pin%20s%E1%BA%A1c%20d%E1%BB%B1%20
